,prod1,prod2,prod3,prod4,prod5,prod6,prod7,prod8,prod9,prod10,prod11,prod12,prod13,prod14,prod15,prod16,prod17,prod18,prod19
0,UK-0031079,UK-0054770,,,,,,,,,,,,,,,,,
1,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
2,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
3,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
4,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
5,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
6,UK-0050593,UK-0050677,UK-0054770,,,,,,,,,,,,,,,,
7,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
8,UK-0050593,UK-0050677,,,,,,,,,,,,,,,,,
9,UK-0050593,UK-0054770,,,,,,,,,,,,,,,,,
10,UK-0050677,UK-0054770,,,,,,,,,,,,,,,,,
11,UK-0050677,UK-0054770,,,,,,,,,,,,,,,,,
12,MTA-0004604,UK-0031079,,,,,,,,,,,,,,,,,
13,MTA-0004604,UK-0050677,,,,,,,,,,,,,,,,,
14,MTA-0004604,UK-0054770,,,,,,,,,,,,,,,,,
15,MTA-0004604,UK-0054770,,,,,,,,,,,,,,,,,
16,MTA-0004604,UK-0054770,,,,,,,,,,,,,,,,,
17,MTA-0004604,MTA-0017700,MTA-0066019,MTA-0088734,MTA-0138708,MTA-0257081,MTA-0473988,MTA-0894200,MTA-2243015,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,
18,MTA-0004604,MTA-0017700,MTA-0020145,MTA-0021084,MTA-0138708,MTA-1049874,MTA-1049875,MTA-1310178,MTA-1666072,UK-0054770,,,,,,,,,
19,MTA-0004604,MTA-0017700,MTA-0066019,MTA-0116012,MTA-0255000,MTA-0612626,MTA-0883838,MTA-1101276,MTA-1310178,MTA-1666072,,,,,,,,,
20,MTA-0004604,MTA-0017700,MTA-0020145,MTA-0066019,MTA-0255000,MTA-0430629,MTA-0648496,MTA-1310178,MTA-2007323,MTA-2115101,MTA-2115134,MTA-2174447,MTA-2283719,,,,,,
21,MTA-0004604,MTA-0020145,MTA-0648496,UK-0050677,,,,,,,,,,,,,,,
22,MTA-0004604,MTA-0020145,,,,,,,,,,,,,,,,,
23,MTA-0004604,MTA-0020145,MTA-0066019,MTA-0116012,MTA-1310178,,,,,,,,,,,,,,
24,MTA-0004604,MTA-0020145,MTA-0116012,MTA-0179717,MTA-0473988,MTA-1362587,MTA-1937586,MTA-2048936,UK-0031079,,,,,,,,,,
25,MTA-0004604,MTA-0020145,MTA-1666072,MTA-1943785,,,,,,,,,,,,,,,
26,MTA-0004604,MTA-0020145,MTA-0066019,MTA-0257081,MTA-1431893,,,,,,,,,,,,,,
27,MTA-0004604,MTA-0020145,MTA-0066019,MTA-0138708,MTA-0648496,MTA-1666072,MTA-1943785,MTA-2242934,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,
28,MTA-0004604,MTA-0021084,MTA-0116012,UK-0050593,,,,,,,,,,,,,,,
29,MTA-0004604,MTA-0066019,MTA-0883838,MTA-1666072,MTA-2007323,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,,,
30,MTA-0004604,MTA-0066019,MTA-0883838,MTA-1666072,MTA-2270988,MTA-2270991,MTA-2271001,MTA-2301135,,,,,,,,,,,
31,MTA-0004604,MTA-0066019,MTA-0088734,MTA-0430629,MTA-1362587,MTA-1666072,MTA-1943785,MTA-2270988,MTA-2270991,MTA-2271001,,,,,,,,,
